opening_eco,opening_name,avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating
A00,Mieses Opening: Reversed Rat,74.63636363636364,31.818181818181817,68.18181818181819,22,1431.6363636363637,1527.2727272727273
A00,Polish Opening,109.79069767441861,60.46511627906977,39.53488372093023,43,1603.5116279069769,1585.5348837209303
A00,Polish Opening: Birmingham Gambit,24.0,0.0,100.0,1,1912.0,1936.0
A00,Polish Opening: Bugayev Attack,85.0,50.0,50.0,4,1447.25,1579.75
A00,Polish Opening: Czech Defense,222.33333333333334,66.66666666666667,33.333333333333336,3,1707.3333333333333,1692.3333333333333
A00,Polish Opening: King's Indian Variation,86.33333333333333,0.0,100.0,3,1711.6666666666667,1798.0
A00,Polish Opening: Outflank Variation,482.0,100.0,0.0,1,2081.0,1599.0
A00,Polish Opening: Queen's Indian Variation,-176.0,100.0,0.0,1,2067.0,2243.0
A00,Polish Opening: Schiffler-Sokolsky Variation,-17.0,50.0,50.0,2,1781.5,1820.5
A00,Polish Opening: Symmetrical Variation,39.0,0.0,100.0,2,1361.5,1400.5
A00,Saragossa Opening,90.0,61.904761904761905,38.095238095238095,42,1581.0714285714287,1591.0238095238096
A00,Sodium Attack,83.0,50.0,50.0,2,1471.0,1256.0
A00,Valencia Opening,328.0,0.0,100.0,1,1608.0,1936.0
A00,Van Geet Opening,173.7826086956522,39.130434782608695,60.869565217391305,23,1423.2173913043478,1535.695652173913
A00,Van Geet Opening: Berlin Gambit,-12.0,0.0,100.0,1,1456.0,1444.0
A00,Van Geet Opening: Dunst-Perrenet Gambit,-79.0,66.66666666666667,33.333333333333336,3,1398.0,1609.0
A00,Van Geet Opening: Napoleon Attack,-119.75,50.0,50.0,4,1524.25,1505.5
A00,Van Geet Opening: Reversed Nimzowitsch,303.0,42.857142857142854,57.142857142857146,7,1235.2857142857142,1254.0
A00,Van Geet Opening: Sicilian Two Knights,-143.0,0.0,100.0,1,1765.0,1622.0
A00,Van't Kruijs Opening,153.0,32.88135593220339,67.11864406779661,295,1349.04406779661,1427.9084745762711
A00,Ware Opening,289.5263157894737,36.8421052631579,63.1578947368421,19,1295.7368421052631,1317.2631578947369
A01,Nimzo-Larsen Attack,205.58333333333334,70.83333333333333,29.166666666666668,24,1523.375,1469.7916666666667
A01,Nimzo-Larsen Attack: Classical Variation,144.95833333333334,50.0,50.0,24,1686.375,1811.25
A01,Nimzo-Larsen Attack: Dutch Variation,-36.0,0.0,100.0,1,1489.0,1453.0
A01,Nimzo-Larsen Attack: English Variation,32.833333333333336,83.33333333333333,16.666666666666668,6,1594.1666666666667,1582.3333333333333
A01,Nimzo-Larsen Attack: Indian Variation,33.666666666666664,22.22222222222222,77.77777777777777,9,1629.4444444444443,1751.5555555555557
A01,Nimzo-Larsen Attack: Modern Variation,-22.25,50.0,50.0,8,1367.375,1322.125
A01,Nimzo-Larsen Attack: Modern Variation #2,19.846153846153847,61.53846153846154,38.46153846153846,13,1591.2307692307693,1635.2307692307693
A01,Nimzo-Larsen Attack: Modern Variation #3,7.6923076923076925,38.46153846153846,61.53846153846154,13,1574.5384615384614,1595.4615384615386
A01,Nimzo-Larsen Attack: Modern Variation #4,14.26923076923077,34.61538461538461,65.38461538461539,26,1690.8076923076924,1704.076923076923
A01,Nimzo-Larsen Attack: Symmetrical Variation,47.2,20.0,80.0,5,1750.8,1796.4
A02,Bird Opening,111.15094339622641,41.509433962264154,58.490566037735846,53,1521.5094339622642,1578.3962264150944
A02,Bird Opening: From's Gambit,309.625,37.5,62.5,8,1562.875,1614.75
A02,System: Double Duck Formation,213.0,0.0,100.0,1,2208.0,2421.0
A03,Bird Opening,96.375,37.5,62.5,8,1721.375,1630.75
A03,Bird Opening: Dutch Variation,63.77272727272727,43.18181818181818,56.81818181818182,44,1600.0227272727273,1627.6136363636363
A03,Bird Opening: Williams Gambit,-60.666666666666664,0.0,100.0,3,1911.3333333333333,1850.6666666666667
A04,Polish Opening: Zukertort System,56.0,100.0,0.0,1,1805.0,1749.0
A04,Reti Opening #2,148.5,50.0,50.0,12,1660.0,1753.6666666666667
A04,Zukertort Opening,307.0,100.0,0.0,1,1693.0,1386.0
A04,Zukertort Opening: Arctic Defense,72.83333333333333,33.333333333333336,66.66666666666667,6,1492.6666666666667,1449.8333333333333
A04,Zukertort Opening: Black Mustang Defense,160.6086956521739,43.47826086956522,56.52173913043478,23,1546.1739130434783,1656.695652173913
A04,Zukertort Opening: Dutch Variation,73.14285714285714,100.0,0.0,7,1725.7142857142858,1652.5714285714287
A04,Zukertort Opening: Kingside Fianchetto,81.13333333333334,53.333333333333336,46.666666666666664,15,1572.3333333333333,1618.8
A04,Zukertort Opening: Lisitsyn Gambit,-12.5,50.0,50.0,2,1873.0,1933.5
A04,Zukertort Opening: Nimzo-Larsen Variation,190.5,50.0,50.0,2,1860.5,1699.0
A04,Zukertort Opening: Pirc Invitation,136.73684210526315,52.63157894736842,47.36842105263158,19,1638.8947368421052,1462.4736842105262
A04,Zukertort Opening: Polish Defense,-18.5,0.0,100.0,2,1983.5,1965.0
A04,Zukertort Opening: Queen's Gambit Invitation,100.86842105263158,73.6842105263158,26.31578947368421,38,1732.3157894736842,1607.078947368421
A04,Zukertort Opening: Queenside Fianchetto Variation,91.36363636363636,72.72727272727273,27.272727272727273,11,1744.0,1614.8181818181818
A04,Zukertort Opening: Quiet System,-117.66666666666667,66.66666666666667,33.333333333333336,3,1212.0,1369.0
A04,Zukertort Opening: Ross Gambit,190.0,90.9090909090909,9.090909090909092,11,1509.1818181818182,1360.090909090909
A04,Zukertort Opening: Sicilian Invitation,126.26923076923077,53.84615384615385,46.15384615384615,26,1741.8461538461538,1765.6538461538462
A04,Zukertort Opening: Slav Invitation,230.5,87.5,12.5,8,1757.5,1555.5
A04,Zukertort Opening: The Walrus,815.0,100.0,0.0,1,1967.0,1152.0
A04,Zukertort Opening: Vos Gambit,182.0,50.0,50.0,2,1437.5,1282.5
A05,King's Indian Attack: Symmetrical Defense,139.54545454545453,63.63636363636363,36.36363636363637,11,1956.8181818181818,1857.6363636363637
A05,King's Indian Attack: Wahls Defense,717.0,100.0,0.0,1,1729.0,1012.0
A06,Nimzowitsch-Larsen Attack,144.125,37.5,62.5,8,1677.375,1670.75
A06,Reti Opening,105.07142857142857,71.42857142857143,28.571428571428573,14,1461.0,1535.357142857143
A06,Zukertort Opening: Old Indian Attack,48.4,20.0,80.0,5,1760.4,1810.4
A06,Zukertort Opening: Reversed Mexican Defense,103.36363636363636,54.54545454545455,45.45454545454545,11,1234.1818181818182,1416.090909090909
A06,Zukertort Opening: Santasiere's Folly,143.0,50.0,50.0,2,1914.5,1747.5
A06,Zukertort Opening: Tennison Gambit,132.21212121212122,51.515151515151516,48.484848484848484,33,1611.030303030303,1629.8484848484848
A07,King's Indian Attack,13.529411764705882,58.8235294117647,41.1764705882353,17,1674.8235294117646,1643.8823529411766
A07,King's Indian Attack: Keres Variation #2,49.0,100.0,0.0,2,1336.0,1287.0
A07,King's Indian Attack: Pachman System,-195.0,100.0,0.0,1,2060.0,2255.0
A07,King's Indian Attack: Sicilian Variation,-71.0,100.0,0.0,1,1762.0,1833.0
A08,King's Indian Attack,90.375,68.75,31.25,16,1923.8125,1849.3125
A08,King's Indian Attack: French Variation,-328.6666666666667,16.666666666666668,83.33333333333333,6,2045.6666666666667,1824.3333333333333
A08,King's Indian Attack: Sicilian Variation,177.5,50.0,50.0,2,1820.5,1921.0
A09,Reti Opening,41.5,50.0,50.0,2,1833.0,1845.5
A09,Reti Opening: Advance Variation,-262.5,0.0,100.0,2,1809.0,1546.5
A09,Reti Opening: Reti Accepted,165.75,87.5,12.5,8,1724.375,1612.375
A10,English Opening,74.42105263157895,52.63157894736842,47.36842105263158,19,1662.842105263158,1595.3684210526317
A10,English Opening: Achilles-Omega Gambit,118.0,0.0,100.0,2,1093.5,1211.5
A10,English Opening: Anglo-Dutch Defense,-41.0,33.333333333333336,66.66666666666667,6,1755.0,1631.6666666666667
A10,English Opening: Anglo-Lithuanian Variation,-2.727272727272727,72.72727272727273,27.272727272727273,11,1537.7272727272727,1514.6363636363637
A10,English Opening: Anglo-Scandinavian Defense,20.88888888888889,61.111111111111114,38.888888888888886,36,1544.5555555555557,1476.0555555555557
A10,English Opening: Anglo-Scandinavian Defense |  Malvinas Variation,7.5,50.0,50.0,2,1599.5,1640.0
A10,English Opening: Great Snake Variation,110.42857142857143,57.142857142857146,42.857142857142854,14,1725.7857142857142,1751.7857142857142
A10,English Opening: Jaenisch Gambit,136.0,0.0,100.0,1,1996.0,2132.0
A11,English Opening: Caro-Kann Defensive System,104.17647058823529,52.94117647058823,47.05882352941177,17,1769.7058823529412,1674.7058823529412
A12,Reti Opening: Anglo-Slav Variation |  Bogoljubov Variation |  III,3.0,0.0,100.0,2,1896.5,1899.5
A13,English Opening: Agincourt Defense,41.90909090909091,77.27272727272727,22.727272727272727,22,1561.2727272727273,1490.1818181818182
A13,English Opening: Agincourt Defense #2,133.6,100.0,0.0,5,1870.4,1736.8
A13,English Opening: Agincourt Defense #3,193.5,100.0,0.0,4,1842.25,1648.75
A13,English Opening: Agincourt Defense |  Catalan Defense,326.5,50.0,50.0,2,2068.0,1898.5
A13,English Opening: Agincourt Defense |  Catalan Defense |  Semi-Slav Defense,-314.0,100.0,0.0,1,1500.0,1814.0
A14,English Opening: Agincourt Defense |  Neo-Catalan Declined,28.0,0.0,100.0,1,2275.0,2303.0
A15,English Opening: Anglo-Indian Defense,92.11111111111111,59.25925925925926,40.74074074074074,27,1666.5925925925926,1732.2592592592594
A15,English Opening: Anglo-Indian Defense |  King's Indian Formation,5.75,50.0,50.0,4,1434.5,1543.75
A15,English Opening: Anglo-Indian Defense |  King's Knight Variation,68.4,80.0,20.0,5,1627.0,1544.2
A15,English Opening: Anglo-Indian Defense |  Queen's Indian Formation,165.0,100.0,0.0,1,2041.0,1876.0
A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense,-41.2,40.0,60.0,5,1696.2,1824.6
A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense |  Exchange Variation,125.75,75.0,25.0,4,2119.75,2069.0
A16,English Opening: Anglo-Gruenfeld Defense,149.4,40.0,60.0,5,1418.6,1596.4
A16,English Opening: Anglo-Indian Defense |  Anglo-Gruenfeld Variation #3,166.0,50.0,50.0,2,2258.0,2186.0
A16,English Opening: Anglo-Indian Defense |  Queen's Knight Variation,29.727272727272727,36.36363636363637,63.63636363636363,11,1678.8181818181818,1706.3636363636363
A17,English Opening: Anglo-Indian Defense |  Hedgehog System,32.0,20.0,80.0,5,1606.4,1641.6
A18,English Opening: Mikenas-Carls Variation,178.0,100.0,0.0,1,2077.0,1899.0
A18,English Opening: Mikenas-Carls Variation #2,13.2,60.0,40.0,5,1837.4,1818.6
A20,English Opening: King's English Variation,92.86301369863014,56.16438356164384,43.83561643835616,73,1594.4794520547946,1582.986301369863
A20,English Opening: King's English Variation |  Nimzowitsch Variation,175.66666666666666,0.0,100.0,3,1526.3333333333333,1702.0
A20,English Opening: King's English Variation |  Nimzowitsch-Flohr Variation,74.0,0.0,100.0,1,1205.0,1279.0
A21,English Opening: King's English Variation,301.5,100.0,0.0,2,1933.5,1632.0
A21,English Opening: King's English Variation |  Keres Defense,119.0,0.0,100.0,1,1638.0,1757.0
A21,English Opening: King's English Variation |  Kramnik-Shirov Counterattack,107.14285714285714,28.571428571428573,71.42857142857143,7,1464.4285714285713,1572.4285714285713
A21,English Opening: King's English Variation |  Reversed Sicilian,61.16216216216216,62.16216216216216,37.83783783783784,37,1557.2972972972973,1506.4054054054054
A22,English Opening: Carls-Bremen System,88.66666666666667,41.666666666666664,58.333333333333336,12,1780.0,1789.1666666666667
A22,English Opening: King's English Variation |  Two Knights Variation,20.85,60.0,40.0,20,1549.9,1546.45
A22,English Opening: King's English Variation |  Two Knights Variation |  Reversed Dragon,13.666666666666666,0.0,100.0,3,1668.0,1681.6666666666667
A22,English Opening: King's English Variation |  Two Knights Variation |  Smyslov System,-52.4,80.0,20.0,5,1608.8,1628.8
A23,English Opening: King's English Variation |  Two Knights Variation |  Keres Variation,30.0,100.0,0.0,1,2018.0,1988.0
A24,English Opening: King's English Variation |  Two Knights Variation |  Fianchetto Line,-189.0,0.0,100.0,1,2167.0,1978.0
A25,English Opening: King's English Variation |  Reversed Closed Sicilian,13.058823529411764,76.47058823529412,23.529411764705884,17,1570.5882352941176,1504.5882352941176
A25,English Opening: King's English Variation |  Taimanov Variation,-235.0,100.0,0.0,1,1757.0,1992.0
A27,English Opening: King's English Variation |  Three Knights System,97.0,60.0,40.0,10,1534.9,1545.5
A28,English Opening: Four Knights System |  Nimzowitsch Variation,44.666666666666664,66.66666666666667,33.333333333333336,3,1667.0,1701.6666666666667
A28,English Opening: King's English Variation |  Four Knights Variation #2,51.75,75.0,25.0,4,1820.75,1845.5
A28,English Opening: King's English Variation |  Four Knights Variation |  Korchnoi Line,22.0,100.0,0.0,1,2169.0,2147.0
A28,English Opening: King's English Variation |  Four Knights Variation |  Quiet Line #3,5.571428571428571,57.142857142857146,42.857142857142854,7,1752.142857142857,1688.2857142857142
A29,English Opening: King's English Variation |  Four Knights Variation |  Fianchetto Line,-22.875,75.0,25.0,8,1653.875,1667.0
A30,English Opening: Symmetrical Variation,60.758620689655174,58.62068965517241,41.37931034482759,29,1606.7586206896551,1576.4137931034484
A30,English Opening: Symmetrical Variation |  Hedgehog Defense,175.0,100.0,0.0,1,2214.0,2039.0
A31,English Opening: Symmetrical Variation |  Anti-Benoni Variation,318.0,0.0,100.0,2,1537.5,1855.5
A33,English Opening: Symmetrical Variation |  Anti-Benoni Variation |  Spielmann Defense,266.0,0.0,100.0,1,1927.0,2193.0
A34,English Opening: Symmetrical Variation |  Fianchetto Variation,-9.0,33.333333333333336,66.66666666666667,3,1806.6666666666667,1771.0
A34,English Opening: Symmetrical Variation |  Normal Variation,123.23076923076923,76.92307692307692,23.076923076923077,13,1632.5384615384614,1561.1538461538462
A35,English Opening: Symmetrical Variation |  Four Knights Variation,152.5,100.0,0.0,4,1941.0,1788.5
A35,English Opening: Symmetrical Variation |  Two Knights Variation,226.5,50.0,50.0,4,1447.75,1691.75
A36,English Opening: Symmetrical Variation |  Botvinnik System Reversed,-68.0,100.0,0.0,1,1984.0,2052.0
A36,English Opening: Symmetrical Variation |  Fianchetto Variation,56.333333333333336,66.66666666666667,33.333333333333336,3,1696.3333333333333,1665.3333333333333
A36,English Opening: Symmetrical Variation |  Symmetrical Variation,22.0,100.0,0.0,2,1886.0,1864.0
A38,English Opening: Symmetrical Variation |  Duchamp Variation,120.5,75.0,25.0,4,1947.25,1804.25
A38,English Opening: Symmetrical Variation |  Full Symmetry Line,56.0,0.0,100.0,1,1673.0,1729.0
A39,English Opening: Symmetrical Variation |  Mecking Variation,-143.0,66.66666666666667,33.333333333333336,3,1890.6666666666667,2040.3333333333333
A40,Australian Defense,425.0,100.0,0.0,1,1885.0,1460.0
A40,Borg Defense: Borg Gambit,521.0,0.0,100.0,1,850.0,1371.0
A40,English Defense,102.26666666666667,53.333333333333336,46.666666666666664,15,1708.0,1711.2
A40,English Defense #2,49.39473684210526,47.36842105263158,52.63157894736842,38,1578.842105263158,1530.5
A40,Englund Gambit,127.91428571428571,60.0,40.0,35,1485.857142857143,1463.0285714285715
A40,Englund Gambit Complex Declined,80.25,50.0,50.0,4,1624.5,1741.75
A40,Englund Gambit Complex: Englund Gambit,110.5,83.33333333333333,16.666666666666668,6,1943.6666666666667,1770.5
A40,Englund Gambit Complex: Felbecker Gambit,422.0,50.0,50.0,2,1601.0,1219.0
A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,213.5,75.0,25.0,4,1603.75,1571.75
A40,Englund Gambit Complex: Soller Gambit,301.25,100.0,0.0,4,1733.75,1432.5
A40,Englund Gambit Declined |  Reversed Alekhine,-43.0,50.0,50.0,4,1383.75,1227.75
A40,Englund Gambit Declined |  Reversed French,80.25925925925925,44.44444444444444,55.55555555555556,27,1429.2962962962963,1471.111111111111
A40,Englund Gambit Declined |  Reversed Krebs,71.0,0.0,100.0,2,1238.5,1309.5
A40,Horwitz Defense,87.81564245810056,53.63128491620112,46.36871508379888,179,1593.4078212290503,1560.1508379888269
A40,Mikenas Defense,62.17391304347826,47.82608695652174,52.17391304347826,23,1450.7391304347825,1329.5217391304348
A40,Mikenas Defense: Cannstatter Variation,79.66666666666667,66.66666666666667,33.333333333333336,3,1606.0,1305.0
A40,Mikenas Defense: Lithuanian Variation,-106.0,100.0,0.0,1,1985.0,2091.0
A40,Modern Defense,85.8225806451613,40.32258064516129,59.67741935483871,62,1641.1290322580646,1637.5645161290322
A40,Modern Defense: Beefeater Variation,233.0,100.0,0.0,1,2248.0,2015.0
A40,Polish Defense,139.58333333333334,91.66666666666667,8.333333333333334,12,1656.0833333333333,1517.0
A40,Queen's Pawn,118.80597014925372,68.65671641791045,31.34328358208955,67,1584.6268656716418,1528.0298507462687
A40,Queen's Pawn Game: Englund Gambit,-274.0,100.0,0.0,1,1930.0,2204.0
A41,Modern Defense,62.0,100.0,0.0,1,1878.0,1816.0
A41,Old Indian Defense,97.75,50.0,50.0,16,1647.5,1514.125
A41,Queen's Pawn,30.11764705882353,61.76470588235294,38.23529411764706,34,1557.9117647058824,1531.1470588235295
A41,Queen's Pawn Game: Anglo-Slav Opening,25.0,80.0,20.0,5,1842.2,1799.2
A41,Rat Defense: English Rat,56.333333333333336,66.66666666666667,33.333333333333336,3,1615.3333333333333,1568.3333333333333
A41,Rat Defense: English Rat |  Lisbon Gambit,-337.0,0.0,100.0,1,1720.0,1383.0
A41,Wade Defense,28.0,50.0,50.0,2,1789.0,1759.0
A42,Modern Defense: Averbakh System |  Kotov Variation,219.0,100.0,0.0,1,2432.0,2213.0
A42,Modern Defense: Averbakh System |  Randspringer Variation,-4.0,100.0,0.0,1,1893.0,1897.0
A42,Modern Defense: Averbakh Variation,415.0,100.0,0.0,1,1871.0,1456.0
A42,Sicilian Defense: Hyperaccelerated Fianchetto,0.0,44.44444444444444,55.55555555555556,9,1769.6666666666667,1777.888888888889
A43,Benoni Defense: Benoni Gambit Accepted,52.642857142857146,50.0,50.0,14,1615.2142857142858,1601.857142857143
A43,Benoni Defense: Benoni Gambit |  Schlenker Defense,-102.0,0.0,100.0,1,1693.0,1591.0
A43,Benoni Defense: Benoni-Indian Defense,-39.25,50.0,50.0,4,2054.0,2113.75
A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,-157.5,75.0,25.0,4,1914.25,2085.75
A43,Benoni Defense: Old Benoni,29.5,50.0,50.0,2,1430.0,1408.5
A43,Franco-Benoni Defense,19.833333333333332,83.33333333333333,16.666666666666668,6,1676.1666666666667,1649.3333333333333
A43,Old Benoni Defense,119.75,41.666666666666664,58.333333333333336,24,1610.75,1640.0833333333333
A43,Old Benoni Defense #2,85.0,75.0,25.0,4,1523.25,1464.25
A44,Old Benoni Defense,-84.5,50.0,50.0,2,1628.5,1834.0
A44,Semi-Bononi,224.0,0.0,100.0,1,1814.0,2038.0
A45,Canard Opening,96.33333333333333,66.66666666666667,33.333333333333336,3,1635.3333333333333,1571.6666666666667
A45,Indian Game,101.4609375,39.84375,60.15625,128,1693.6953125,1749.09375
A45,Indian Game: Omega Gambit,755.0,0.0,100.0,1,1160.0,1915.0
A45,Indian Game: Paleface Attack |  Blackmar-Diemer Gambit Deferred,85.0,100.0,0.0,1,1107.0,1022.0
A45,Indian Game: Pawn Push Variation,134.44444444444446,55.55555555555556,44.44444444444444,9,1561.4444444444443,1471.0
A45,Indian Game: Reversed Chigorin Defense,-574.0,0.0,100.0,1,2211.0,1637.0
A45,Indian Game: Tartakower Attack,12.3,30.0,70.0,10,1675.4,1645.7
A45,Paleface Attack,32.857142857142854,42.857142857142854,57.142857142857146,7,1372.2857142857142,1426.2857142857142
A45,Trompowsky Attack,-19.2,66.66666666666667,33.333333333333336,15,1842.5333333333333,1828.5333333333333
A45,Trompowsky Attack: Classical Defense,-74.5,50.0,50.0,2,1457.0,1525.5
A45,Trompowsky Attack: Classical Defense |  Big Center Variation,30.6,80.0,20.0,5,1807.0,1768.0
A46,Doery Defense,-28.0,0.0,100.0,1,2201.0,2173.0
A46,Indian Game: London System,105.08333333333333,33.333333333333336,66.66666666666667,12,1805.25,1762.8333333333333
A46,Indian Game: Spielmann-Indian,50.333333333333336,50.0,50.0,6,2087.3333333333335,2101.0
A46,Indian Game: Wade-Tartakower Defense,231.0,40.0,60.0,5,1588.4,1774.6
A46,Torre Attack,-72.25,50.0,50.0,4,1825.75,1857.0
A46,Torre Attack #2,82.66666666666667,33.333333333333336,66.66666666666667,12,1592.25,1606.25
A46,Torre Attack: Classical Defense |  Nimzowitsch Variation,69.0,0.0,100.0,3,1954.6666666666667,2023.6666666666667
A46,Yusupov-Rubinstein System,-57.05882352941177,47.05882352941177,52.94117647058823,17,1633.0,1750.5294117647059
A47,Queen's Indian Defense,52.75,25.0,75.0,4,1638.0,1680.25
A48,Indian Game: Colle System |  King's Indian Variation,-44.0,100.0,0.0,1,1923.0,1967.0
A48,London System,95.35714285714286,28.571428571428573,71.42857142857143,14,1778.5714285714287,1874.9285714285713
A48,Queen's Pawn Game: Colle System |  Gruenfeld Formation,-87.0,100.0,0.0,1,1798.0,1885.0
A48,Torre Attack,52.714285714285715,85.71428571428571,14.285714285714286,7,1744.5714285714287,1795.2857142857142
A49,East Indian Defense,17.38095238095238,47.61904761904762,52.38095238095238,21,1691.857142857143,1708.3809523809523
A49,Indian Game: Przepiorka Variation,204.0,42.857142857142854,57.142857142857146,7,1990.7142857142858,2071.285714285714
A49,Zukertort Opening: Double Fianchetto Attack,378.0,100.0,0.0,1,1494.0,1116.0
A50,Indian Game: Normal Variation,-50.75,50.0,50.0,4,1502.0,1406.75
A50,Mexican Defense,307.25,50.0,50.0,4,1759.5,1426.75
A50,Queen's Indian Accelerated,-3.75,100.0,0.0,4,1539.5,1543.25
A50,Slav Indian,74.75,0.0,100.0,4,1670.5,1745.25
A51,Budapest Defense: Fajarowicz Variation,-98.0,0.0,100.0,1,1862.0,1764.0
A51,Indian Game: Budapest Defense,105.75,37.5,62.5,8,1676.125,1672.625
A52,Budapest Defense,152.5,25.0,75.0,4,1773.25,1795.75
A52,Budapest Defense: Adler Variation,-40.875,18.75,81.25,16,1736.0625,1763.4375
A52,Budapest Defense: Rubinstein Variation,7.5,50.0,50.0,2,1942.5,1915.0
A53,Old Indian Defense,74.3,80.0,20.0,10,1641.3,1636.4
A53,Old Indian: Czech Variation,70.0,0.0,100.0,1,1516.0,1586.0
A53,Old Indian: Czech Variation |  with Nc3,101.0,33.333333333333336,66.66666666666667,3,1579.0,1578.6666666666667
A54,Old Indian Defense: Tartakower-Indian,153.0,0.0,100.0,1,1562.0,1715.0
A54,Old Indian Defense: Two Knights Variation,114.0,100.0,0.0,1,2191.0,2077.0
A54,Old Indian Defense: Ukrainian Variation,-233.0,0.0,100.0,1,1522.0,1289.0
A56,Benoni Defense,24.666666666666668,33.333333333333336,66.66666666666667,6,1821.1666666666667,1889.5
A56,Benoni Defense: Czech Benoni Defense,-86.0,16.666666666666668,83.33333333333333,6,1885.3333333333333,1796.0
A57,Benko Gambit,37.8,60.0,40.0,5,1777.2,1927.8
A57,Benko Gambit Accepted |  Modern Variation,264.0,100.0,0.0,1,2095.0,1831.0
A57,Benko Gambit Accepted |  Pawn Return Variation,210.0,100.0,0.0,1,2376.0,2166.0
A57,Benko Gambit Declined |  Main Line,-151.0,0.0,100.0,1,1964.0,1813.0
A57,Benko Gambit Declined |  Quiet Line,-5.0,100.0,0.0,1,2331.0,2336.0
A57,Benoni Defense: Hromadka System,-101.0,0.0,100.0,1,1283.0,1182.0
A58,Benko Gambit Accepted |  Fianchetto Variation,14.5,100.0,0.0,2,2123.5,2109.0
A58,Benko Gambit Accepted |  Fully Accepted Variation,14.0,33.333333333333336,66.66666666666667,3,2089.6666666666665,2129.6666666666665
A58,Benko Gambit: Zaitsev System,-183.0,0.0,100.0,1,2073.0,1890.0
A59,Benko Gambit Accepted |  Yugoslav |  without 7...Bxf1,235.0,0.0,100.0,1,2052.0,2287.0
A60,Benoni Defense: Modern Variation,89.0,66.66666666666667,33.333333333333336,3,1786.6666666666667,1854.3333333333333
A60,Benoni Defense: Modern Variation |  Snake Variation,83.0,100.0,0.0,1,1795.0,1712.0
A65,Benoni Defense: King's Pawn Line,101.0,0.0,100.0,1,1739.0,1840.0
A67,Benoni Defense: Taimanov Variation,312.0,100.0,0.0,1,2329.0,2017.0
A70,Benoni Defense: Classical Variation,60.0,33.333333333333336,66.66666666666667,3,1935.0,2025.0
A70,Benoni Defense: Classical Variation |  New York Variation,-90.33333333333333,66.66666666666667,33.333333333333336,3,1985.3333333333333,2057.6666666666665
A73,Benoni Defense: Classical Variation |  Main Line,-147.0,0.0,100.0,1,1450.0,1303.0
A80,Dutch Defense,38.464285714285715,60.714285714285715,39.285714285714285,28,1723.4642857142858,1651.357142857143
A80,Dutch Defense: Alapin Variation,404.0,0.0,100.0,1,1168.0,1572.0
A80,Dutch Defense: Hopton Attack,-193.0,50.0,50.0,4,1841.5,1913.5
A80,Dutch Defense: Omega-Isis Gambit,44.0,100.0,0.0,2,1564.0,1520.0
A80,Dutch Defense: Raphael Variation,162.0,40.0,60.0,5,1961.4,1860.6
